Alloy,Elements,Al,Co,Cr,Fe,Ni,Cu,Mn,Ti,V,Nb,Mo,Zr,Hf,Ta,W,C,Mg,Zn,Si,N,Li,Sn,B,Y,Pd,Actual phase,Phases considered,References
Fe45Cr10V10Co30Ni5,"['Fe', 'Cr', 'V', 'Co', 'Ni']",0,0.3,0.1,0.45,0.05,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IM,0,https://doi.org/10.1038/s41598-019-39570-y
Fe45Cr10V10Co35,"['Fe', 'Cr', 'V', 'Co']",0,0.35,0.1,0.45,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IM,0,https://doi.org/10.1007/s11837-012-0366-5
AlCoCrNi,"['Al', 'Co', 'Cr', 'Ni']",0.25,0.25,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IM,0,https://doi.org/10.1016/j.jallcom.2018.11.057
V10Cr15Mn5Fe35Co10Ni25,"['V', 'Cr', 'Mn', 'Fe', 'Co', 'Ni']",0,0.1,0.15,0.35,0.25,0,0.05,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FCC,2,https://doi.org/10.1016/j.msea.2019.138604
Co17.5Cr12.5Fe55Ni10Mo5,"['Co', 'Cr', 'Fe', 'Ni', 'Mo']",0,0.175,0.125,0.55,0.1,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FCC,2,https://doi.org/10.1016/j.jallcom.2018.12.040
Co18Cr12.5Fe55Ni7Mo7.5,"['Co', 'Cr', 'Fe', 'Ni', 'Mo']",0,0.180904523,0.120603015,0.552763819,0.070351759,0,0,0,0,0,0.075376884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FCC,2,https://doi.org/10.1016/j.actamat.2014.01.029
AlMo0.5NbTa0.5TiZr,"['Al', 'Mo', 'Nb', 'Ta', 'Ti', 'Zr']",0.25,0,0,0,0,0,0,0.25,0,0,0.125,0.25,0,0.125,0,0,0,0,0,0,0,0,0,0,0,BCC,1,https://doi.org/10.1016/j.actamat.2014.01.029
Al0.4Hf0.6NbTaTiZr,"['Al', 'Hf', 'Nb', 'Ta', 'Ti', 'Zr']",0.08,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0.12,0.2,0,0,0,0,0,0,0,0,0,0,0,BCC,1,https://doi.org/10.1007/s11837-014-1066-0
Al0.3NbTaTi1.4Zr1.3,"['Al', 'Nb', 'Ta', 'Ti', 'Zr']",0.06,0,0,0,0,0,0,0.28,0,0.2,0,0.26,0,0.2,0,0,0,0,0,0,0,0,0,0,0,BCC,1,https://doi.org/10.1007/s11837-014-1066-0
TiVZrHfNb,"['Ti', 'V', 'Zr', 'Hf', 'Nb']",0,0,0,0,0,0,0,0.2,0.2,0.2,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,IM,0,https://doi.org/10.1016/j.ijrmhm.2014.07.009
CrHfNbTiZr,"['Cr', 'Hf', 'Nb', 'Ti', 'Zr']",0,0,0.2,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,IM,0,https://doi.org/10.1016/j.msea.2011.09.033
NbTiVZr,"['Nb', 'Ti', 'V', 'Zr']",0,0,0,0,0,0,0,0.25,0.25,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,BCC,1,https://doi.org/10.1016/j.msea.2012.12.018
